drug,region,region_id,wdeg_lo,wdeg_med,wdeg_hi,closeness_lo,closeness_med,closeness_hi,betweenness_lo,betweenness_med,betweenness_hi
PSI,Lingula (I),912,106.13867238244171,135.94386303480502,167.69478466437715,10.195564299223454,66.80843624626041,101.80982147143263,0.0,0.03952398124774612,0.27803822574828707
PSI,Entorhinal area lateral part,918,143.42890221891287,159.2200036909037,190.6442790665758,16.919991852278205,89.24909904463185,133.46115413432761,0.0,0.0016227912008654887,0.39047962495492244
PSI,Central lobule,920,106.31833737349314,132.0100050655442,173.61477073146102,9.310102205928285,56.12817105803687,121.1466638761136,0.0,0.06812116840966462,0.23371799495131626
PSI,Perirhinal area,922,103.53269787375748,132.3898006096884,167.02007242879174,9.671970041028121,56.74316859230973,106.26388547490777,0.0,0.0,0.17706455102776777
PSI,Entorhinal area medial part dorsal zone,926,121.4473646742081,150.13825750227772,185.3305525381743,10.408538632852077,85.21190273412448,127.46069135842991,0.0,0.023332131265777135,0.460439956725568
PSI,Culmen,928,118.27996777334062,136.69755546780047,191.9233937067918,14.21249102872807,73.72316031389435,164.77659740089635,0.0,0.020915975477821855,0.19372520735665344
PSI,Parafascicular nucleus,930,131.4079904554407,155.52030938389868,188.76663324422645,17.810353532898862,90.32458134552212,155.8015830462157,0.0,0.0,0.29466282005048683
PSI,Pontine gray,931,111.6372497710955,137.3142192111143,179.48543168227567,11.470052585292864,69.72728134051857,108.29436625691025,0.029606923909123693,0.13436711143166247,0.29657410746483953
PSI,Declive (VI),936,121.59281366974473,143.05046064876922,187.88213090503035,16.907731384055882,73.50651012519539,152.62745117472457,0.0,0.1001442481067436,0.23274432023079697
PSI,Folium-tuber vermis (VII),944,158.7323538537032,173.33991639833457,188.02052991187534,17.91657620103247,108.4991492410123,146.92655996113336,0.0,0.03278038225748287,0.33191489361702126
PSI,Posterior hypothalamic nucleus,946,161.65761886769724,177.06944435092987,191.2717833646356,19.60751553595887,114.68858602122994,146.58859398510134,0.0,0.1932383699963938,0.40746483952398127
PSI,Pyramus (VIII),951,135.46495321099013,155.01913366267308,191.66492093343072,17.30181785199428,87.83234927698598,128.89409821328135,0.034763793725207354,0.07646351724966947,0.4006130544536603
PSI,Uvula (IX),957,99.23314841879673,129.37691478727447,191.1589281461768,9.852446632796772,56.50565924051578,162.72610679688492,0.0005048683736025965,0.0576631806707537,0.4300757302560404
PSI,Piriform area,961,167.89425886160402,178.54847259476747,194.0346567870937,21.449597929104886,120.8130208304926,157.94917618927116,0.0,0.01846375766318067,0.43909123692751534
