drug,region,region_id,delta_eg,is_articulation_point,residual_gc
PSI,Diagonal band nucleus,596,-0.11751597040994,False,
PSI,Central medial nucleus of the thalamus,599,-0.08590834072543174,False,
PSI,Subparafascicular area,609,0.41256861125022937,False,
PSI,Nucleus of the lateral lemniscus,612,-0.02417330639020321,False,
PSI,Tuberal nucleus,614,-0.046621422660479084,False,
PSI,Cuneiform nucleus,616,-0.15168665960209893,False,
PSI,Nucleus of the lateral olfactory tract,619,0.2794464125986593,False,
PSI,Motor nucleus of trigeminal,621,0.17306621930532629,False,
PSI,Cortical amygdalar area anterior part,639,0.4324751355059959,False,
PSI,Nucleus of the trapezoid body,642,-0.19273793327838717,False,
PSI,Cortical amygdalar area posterior part,647,0.278857080832033,False,
PSI,Nucleus of the solitary tract,651,-0.17332864834960304,False,
PSI,Abducens nucleus,653,-0.13764877577105494,False,
PSI,Facial motor nucleus,661,-0.19512213446262905,False,
PSI,Caudoputamen,672,-0.05454099816472535,False,
PSI,Visceral area,677,0.5733810840796707,False,
PSI,Superior central nucleus raphe,679,-0.03864970208668694,True,0.5296610169491526
PSI,Ventral medial nucleus of the thalamus,685,-0.17488047594081735,False,
PSI,Ventrolateral preoptic nucleus,689,-0.1893846345960668,False,
PSI,Ventromedial hypothalamic nucleus,693,-0.21435836317603219,False,
PSI,Olivary pretectal nucleus,706,0.1817863611621391,False,
PSI,Cuneate nucleus,711,-0.2496326598828844,False,
PSI,Ventral posterolateral nucleus of the thalamus,718,-0.22352583587630903,False,
PSI,Dentate gyrus,726,0.03280862911795879,True,0.5296610169491526
PSI,Orbital area medial part,731,0.173572518370392,False,
PSI,Ventral posteromedial nucleus of the thalamus,733,-0.21793737814462588,False,
PSI,Orbital area ventrolateral part,746,0.1719563937418016,False,
PSI,Ventral tegmental area,749,-0.09696519130714165,True,0.5127118644067796
PSI,Olfactory tubercle,754,-0.20012654729772095,False,
PSI,Ventral tegmental nucleus,757,-0.19170779240417346,False,
PSI,Vascular organ of the lamina terminalis,763,-0.22677558851078317,False,
PSI,Nucleus x,765,-0.202241626111892,False,
PSI,Hypoglossal nucleus,773,-0.09395296845470114,False,
PSI,Posterior amygdalar nucleus,780,-0.2562400788779087,False,
PSI,Nucleus y,781,-0.1768607582618955,True,0.5296610169491526
PSI,Piriform-amygdalar area,788,0.10244901890665403,True,0.5169491525423728
PSI,Periaqueductal gray,795,0.28422933054890365,False,
PSI,Zona incerta,797,-0.11537799130144322,False,
PSI,Dorsal peduncular area,814,-0.0005063011034209808,True,0.4957627118644068
PSI,Dorsomedial nucleus of the hypothalamus,830,-0.017428577015124347,False,
PSI,Dorsal motor nucleus of the vagus nerve,839,-0.15704439204630916,False,
PSI,Parasubiculum,843,-0.2325373005310638,False,
PSI,Dentate nucleus,846,-0.23755919338808695,False,
PSI,Parvicellular reticular nucleus,852,-0.2538683307402323,False,
PSI,Parasolitary nucleus,859,-0.011249268986915695,False,
PSI,Parabrachial nucleus,867,0.4465845625662439,False,
PSI,Dorsal nucleus raphe,872,-0.0036145963978384543,True,0.5296610169491526
PSI,Parabigeminal nucleus,874,0.14105073288452274,False,
PSI,Retrosplenial area dorsal part,879,0.1071903958283329,False,
PSI,Dorsal tegmental nucleus,880,-0.20963228447200066,False,
PSI,Retrosplenial area ventral part,886,-0.15920477643194886,False,
PSI,Retrosplenial area lateral agranular part,894,0.48716990138268557,False,
PSI,Ectorhinal area,895,-0.1741178111492374,True,0.5296610169491526
