comparison,direction,edges_removed,frac,PSI_Eg,SAL_Eg,null_mean_Eg,null_lo_Eg,null_hi_Eg,obs1_p_vs_null,obs2_p_vs_null,KET_Eg
PSI_vs_SAL,strong,1199,0.04285714285714286,10.18291830922543,12.689833034846028,16.383761383090267,13.99518803463041,18.80124078765112,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,2397,0.08571428571428572,6.6015691991635705,8.176815412624125,9.274425177126009,8.051902993954076,10.499704494773736,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,3596,0.12857142857142856,4.9415512466773235,6.060090963922556,6.466369273258644,5.658972172969322,7.274832329142376,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,4794,0.17142857142857143,3.926631289499334,4.786615216797507,4.889040110341177,4.308473631988746,5.470252232079567,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,5993,0.2142857142857143,3.2058932044490533,3.88906683585373,3.840289021615908,3.4059000067368848,4.275219654580202,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,7191,0.2571428571428571,2.642592542022693,3.2028563636114686,3.0885928763262354,2.7546488867899215,3.4233167408565035,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,8390,0.3,2.224710548692504,2.6597262651552893,2.528172999932486,2.281094466987137,2.7762586094843438,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,9588,0.34285714285714286,1.8863254272638925,2.2299777675454324,2.0999149106882005,1.908367844098939,2.29155887015071,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,10787,0.38571428571428573,1.59921296244898,1.8786007897375532,1.7605346288014205,1.614090858705504,1.9070517544990382,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,11985,0.4285714285714286,1.3658305309449654,1.5797988993110086,1.4863877786626285,1.3753956484933092,1.5977232036258446,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,13184,0.4714285714285714,1.1733645892917133,1.341130884849309,1.2647086756528805,1.1783626074105154,1.3511839431854173,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,14383,0.5142857142857142,1.0099271897577988,1.146959246154947,1.083555478613095,1.0152694886591889,1.1518824820943903,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,15581,0.5571428571428572,0.8684391846696008,0.9728194255064787,0.9294461768593861,0.8770504748732122,0.9820655631300909,0.009900990099009901,0.009900990099009901,
PSI_vs_SAL,strong,16780,0.6,0.7483861219972207,0.8234634797600815,0.7970385272029128,0.7574121526570855,0.8367858397929472,0.009900990099009901,0.009900990099009901,
KET_vs_SAL,weak,0,0.0,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,1199,0.04285714285714286,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,2397,0.08571428571428572,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,3596,0.12857142857142856,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,4794,0.17142857142857143,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,5993,0.2142857142857143,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,7191,0.2571428571428571,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,8390,0.3,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,9588,0.34285714285714286,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,10787,0.38571428571428573,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,11985,0.4285714285714286,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,13184,0.4714285714285714,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,14383,0.5142857142857142,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,15581,0.5571428571428572,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,weak,16780,0.6,,48.130391559937195,157.3412733948651,143.97736175081016,169.54941946334424,1.0,1.0,55.692790730677125
KET_vs_SAL,strong,0,0.0,,48.130391559937195,157.3162266473639,144.78911979118655,170.07743379034548,1.0,1.0,55.692790730677125
KET_vs_SAL,strong,1199,0.04285714285714286,,12.689833034846028,20.581161500696307,18.71536469484156,22.447450548258583,0.009900990099009901,0.009900990099009901,15.207609256175655
KET_vs_SAL,strong,2397,0.08571428571428572,,8.176815412624125,11.578095225799505,10.475761338393443,12.684140332215595,0.009900990099009901,0.009900990099009901,9.83916879500241
KET_vs_SAL,strong,3596,0.12857142857142856,,6.060090963922556,7.973739507498003,7.260473538762531,8.686418821695483,0.009900990099009901,0.009900990099009901,7.27278288560626
KET_vs_SAL,strong,4794,0.17142857142857143,,4.786615216797507,5.961444433727543,5.46114781569267,6.460862538072052,0.009900990099009901,0.009900990099009901,5.679652686441946
KET_vs_SAL,strong,5993,0.2142857142857143,,3.88906683585373,4.65163193849742,4.269417327002686,5.034316140728647,0.009900990099009901,0.009900990099009901,4.563981547821578
KET_vs_SAL,strong,7191,0.2571428571428571,,3.2028563636114686,3.7333189043346913,3.4180988773888905,4.04839184401713,0.009900990099009901,0.009900990099009901,3.7491195351545166
KET_vs_SAL,strong,8390,0.3,,2.6597262651552893,3.051469804663775,2.772695231861047,3.33022511862663,0.009900990099009901,0.009900990099009901,3.143807878167455
KET_vs_SAL,strong,9588,0.34285714285714286,,2.2299777675454324,2.5285425690912984,2.289037228985933,2.7680091327914207,0.009900990099009901,0.009900990099009901,2.65165148698462
KET_vs_SAL,strong,10787,0.38571428571428573,,1.8786007897375532,2.116349412833556,1.9050666999934047,2.3277446109129336,0.009900990099009901,0.009900990099009901,2.251772075416001
KET_vs_SAL,strong,11985,0.4285714285714286,,1.5797988993110086,1.78221326237719,1.595796668933,1.9688243762110964,0.009900990099009901,0.009900990099009901,1.9153269313515175
KET_vs_SAL,strong,13184,0.4714285714285714,,1.341130884849309,1.5119696285988413,1.3498585801603094,1.674352606692775,0.009900990099009901,0.009900990099009901,1.6298030330034377
KET_vs_SAL,strong,14383,0.5142857142857142,,1.146959246154947,1.2876422631307805,1.1507969553062316,1.4244844843071327,0.009900990099009901,0.009900990099009901,1.3919895516806104
KET_vs_SAL,strong,15581,0.5571428571428572,,0.9728194255064787,1.0969988068482155,0.9810331241008858,1.2131863513183212,0.009900990099009901,0.009900990099009901,1.1921150504703124
KET_vs_SAL,strong,16780,0.6,,0.8234634797600815,0.9314723430799369,0.8358382669351601,1.0271975867672156,0.009900990099009901,0.009900990099009901,1.010681223397632
PSI_vs_KET,weak,0,0.0,37.238291655026075,,137.274447064828,106.74819102405262,170.59352430726057,1.0,1.0,55.692790730677125
