comparison,metric,region,region_id,diff,p_value,q_value,significant_fdr05
PSI_vs_SAL,wdeg,Central medial nucleus of the thalamus,599,-4.770416866890059,0.9129087091290871,1.0,False
PSI_vs_SAL,wdeg,Subparafascicular area,609,17.606921220153936,0.617038296170383,0.9212267452500033,False
PSI_vs_SAL,wdeg,Nucleus of the lateral lemniscus,612,3.173242280152124,0.9729027097290271,1.0,False
PSI_vs_SAL,wdeg,Tuberal nucleus,614,41.51071199086401,0.6180381961803819,0.9212267452500033,False
PSI_vs_SAL,wdeg,Cuneiform nucleus,616,4.419258149244911,0.9185081491850815,1.0,False
PSI_vs_SAL,wdeg,Nucleus of the lateral olfactory tract,619,42.11806262796759,0.23647635236476353,0.7015037132650371,False
PSI_vs_SAL,wdeg,Motor nucleus of trigeminal,621,-17.41882032317075,0.7722227777222278,0.9685936168287933,False
PSI_vs_SAL,wdeg,Cortical amygdalar area anterior part,639,-8.81426693336283,0.7307269273072693,0.9685936168287933,False
PSI_vs_SAL,wdeg,Nucleus of the trapezoid body,642,-38.042421552635346,0.20077992200779923,0.7015037132650371,False
PSI_vs_SAL,wdeg,Cortical amygdalar area posterior part,647,17.797734416700735,0.5826417358264173,0.9212267452500033,False
PSI_vs_SAL,wdeg,Nucleus of the solitary tract,651,-47.588262392586586,0.1473852614738526,0.6355273563552735,False
PSI_vs_SAL,wdeg,Abducens nucleus,653,-53.7781817410864,0.14108589141085892,0.6355273563552735,False
PSI_vs_SAL,wdeg,Facial motor nucleus,661,-56.73787543572847,0.07329267073292671,0.5918002794315163,False
PSI_vs_SAL,wdeg,Caudoputamen,672,23.14081377273817,0.3865613438656134,0.8036406885627226,False
PSI_vs_SAL,wdeg,Visceral area,677,3.8531972390425153,0.8571142885711429,1.0,False
PSI_vs_SAL,wdeg,Superior central nucleus raphe,679,39.381462161025496,0.29127087291270876,0.7210497700229976,False
PSI_vs_SAL,wdeg,Ventral medial nucleus of the thalamus,685,-32.01155265488072,0.36576342365763426,0.7897811988712632,False
PSI_vs_SAL,wdeg,Ventrolateral preoptic nucleus,689,-70.35729821761339,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Ventromedial hypothalamic nucleus,693,-41.0313628380847,0.2253774622537746,0.7015037132650371,False
PSI_vs_SAL,wdeg,Olivary pretectal nucleus,706,-23.73201166672567,0.32526747325267474,0.763251397632514,False
PSI_vs_SAL,wdeg,Cuneate nucleus,711,-81.10024563049255,0.07999200079992001,0.5918002794315163,False
PSI_vs_SAL,wdeg,Ventral posterolateral nucleus of the thalamus,718,-61.80672358340448,0.029697030296970302,0.34417986772751297,False
PSI_vs_SAL,wdeg,Dentate gyrus,726,-16.759123239816546,0.5502449755024498,0.9056115221811153,False
PSI_vs_SAL,wdeg,Orbital area medial part,731,-16.996956888951615,0.7373262673732627,0.9685936168287933,False
PSI_vs_SAL,wdeg,Ventral posteromedial nucleus of the thalamus,733,-73.00832010766905,0.08739126087391261,0.5918002794315163,False
PSI_vs_SAL,wdeg,Orbital area ventrolateral part,746,-15.692720142824186,0.6160383961603839,0.9212267452500033,False
PSI_vs_SAL,wdeg,Ventral tegmental area,749,-37.80482800700808,0.31296870312968705,0.7474232576742326,False
PSI_vs_SAL,wdeg,Olfactory tubercle,754,-39.5038902955183,0.22237776222377761,0.7015037132650371,False
PSI_vs_SAL,wdeg,Ventral tegmental nucleus,757,-58.5592856918132,0.054894510548945105,0.5468683900840685,False
PSI_vs_SAL,wdeg,Vascular organ of the lamina terminalis,763,-30.522685568610086,0.41275872412758724,0.836101005284087,False
PSI_vs_SAL,wdeg,Nucleus x,765,-63.10792108982936,0.030496950304969503,0.34417986772751297,False
PSI_vs_SAL,wdeg,Hypoglossal nucleus,773,24.50857458695424,0.2545745425457454,0.7015037132650371,False
PSI_vs_SAL,wdeg,Posterior amygdalar nucleus,780,-58.62687179245384,0.08449155084491551,0.5918002794315163,False
PSI_vs_SAL,wdeg,Nucleus y,781,20.389130784785095,0.401959804019598,0.8212454616607304,False
PSI_vs_SAL,wdeg,Piriform-amygdalar area,788,-9.339471284869177,0.6373362663733627,0.9381906529843912,False
PSI_vs_SAL,wdeg,Periaqueductal gray,795,-28.322975147270967,0.34066593340665935,0.7772366994069825,False
PSI_vs_SAL,wdeg,Zona incerta,797,10.318333680639967,0.7010298970102989,0.9685936168287933,False
PSI_vs_SAL,wdeg,Dorsal peduncular area,814,-27.350707765964785,0.25547445255474455,0.7015037132650371,False
PSI_vs_SAL,wdeg,Dorsomedial nucleus of the hypothalamus,830,-20.784619767911238,0.5443455654434557,0.9056115221811153,False
PSI_vs_SAL,wdeg,Dorsal motor nucleus of the vagus nerve,839,-23.8946472805722,0.516048395160484,0.8948017606998424,False
PSI_vs_SAL,wdeg,Parasubiculum,843,-70.18346407362543,0.1116888311168883,0.6355273563552735,False
PSI_vs_SAL,wdeg,Dentate nucleus,846,-24.56917531959411,0.6047395260473952,0.9212267452500033,False
PSI_vs_SAL,wdeg,Parvicellular reticular nucleus,852,-85.91024657319166,0.0184981501849815,0.34417986772751297,False
PSI_vs_SAL,wdeg,Parasolitary nucleus,859,-27.603653085812425,0.573942605739426,0.9212267452500033,False
PSI_vs_SAL,wdeg,Parabrachial nucleus,867,-22.93003105036155,0.5162483751624838,0.8948017606998424,False
PSI_vs_SAL,wdeg,Dorsal nucleus raphe,872,37.28714262486511,0.055894410558944105,0.5468683900840685,False
PSI_vs_SAL,wdeg,Parabigeminal nucleus,874,25.091859346773106,0.5151484851514848,0.8948017606998424,False
PSI_vs_SAL,wdeg,Retrosplenial area dorsal part,879,65.72665267340915,0.26577342265773424,0.7077337210099215,False
