drug,region,region_id,weighted_degree,weighted_degree_z,closeness,closeness_z,betweenness,betweenness_z,cluster
PSI,Medial amygdalar nucleus,403,115.80622855892084,-0.8642262631571906,8.780083505336949,-1.5877523542937744,0.015542733501622791,-0.6364053276503502,0
PSI,Lateral visual area,409,168.35896671429828,1.1952653302022573,21.91159065515682,1.3257907849777562,0.1836999639379733,2.219889776769706,0
PSI,Field CA2,423,133.71447125614156,-0.16241934345451303,15.934089563750456,-0.00046271328074307865,0.04082221420843851,-0.20701161797879558,1
PSI,Posterolateral visual area,425,98.06661613290112,-1.5594247236603191,9.015676892249019,-1.5354802511555736,0.010205553552109628,-0.7270619168534744,0
PSI,Spinal nucleus of the trigeminal oral part,445,167.18086420421247,1.1490966185270672,21.995053269082575,1.344308988822498,0.15099170573386225,1.6643118956397491,0
PSI,Field CA3,463,89.34477322978137,-1.901225413178509,9.151200009978004,-1.5054111627130191,0.013306887847097007,-0.6743830879921996,1
PSI,Medial geniculate complex,475,119.16063761965988,-0.7327701772562902,14.164188445561084,-0.39315817475794224,0.04446447890371439,-0.14514462129287967,1
PSI,Medial mammillary nucleus,491,120.32360545237349,-0.6871945791258997,10.07240378136389,-1.301019778131606,0.04038946988820772,-0.21436215223850827,0
PSI,Subiculum,502,157.03834441437783,0.7516209592971425,19.17493611708549,0.7185976453796562,0.0427695636494771,-0.17393421381008806,1
PSI,Main olfactory bulb,507,163.01326273945062,0.9857722993303657,18.379394835761577,0.5420875299935205,0.024774612333213125,-0.479593930109811,1
PSI,Medial preoptic nucleus,515,89.19014237628937,-1.9072852485747007,7.512201397549569,-1.8690627305059762,0.004002884962134872,-0.8324195745760242,0
PSI,Medial preoptic area,523,87.33434424607539,-1.9800122040541233,8.305746143650227,-1.6929955948506257,0.01875225387666787,-0.5818888652241472,1
PSI,Medial pretectal area,531,102.32338086746174,-1.3926061811170796,9.8545553910941,-1.3493547236660641,0.014893617021276596,-0.6474311290399194,1
PSI,posteromedial visual area,533,167.54567464666053,1.1633931911846167,20.837149210048647,1.0873999083458343,0.07324197619906239,0.34366590697802,1
PSI,Central amygdalar nucleus,536,137.76329445185848,-0.0037498311272186847,15.836930068426947,-0.02201990224505623,0.03314100252434187,-0.33748360108869724,1
PSI,Temporal association areas,541,159.40436183702772,0.8443429213247448,20.194131459772667,0.9447308351486959,0.10522899386945546,0.8869928976751226,1
PSI,Medial septal nucleus,564,146.81024269611726,0.3507914260670544,16.292426723443423,0.0790430708808116,0.023909123692751534,-0.49429499862923654,1
PSI,Postpiriform transition area,566,109.6848446104549,-1.1041174510210348,10.689388012563928,-1.1641268721351874,0.022466642625315544,-0.5187967794949457,1
PSI,Tegmental reticular nucleus,574,140.6920195882226,0.11102410852496655,17.481270484293525,0.3428168741139074,0.07609087630724846,0.3920569241877957,0
PSI,Central lateral nucleus of the thalamus,575,140.092278472592,0.08752082726526618,17.158816270626517,0.2712725912498041,0.009772809231878832,-0.7344124511131872,0
PSI,Accessory facial motor nucleus,576,132.44541167146224,-0.21215257597213907,15.645758305804337,-0.06443599135476585,0.06134150739271547,0.14152621483591854,0
PSI,Taenia tecta,589,142.95216031675128,0.19959686407676885,16.14176299932214,0.045614671936012194,0.01583122971510999,-0.6315049714772083,1
PSI,Central linear nucleus raphe,591,102.89700815508327,-1.3701262758248898,6.653658762555402,-2.059551223214421,0.0,-0.9004120164783674,0
PSI,Diagonal band nucleus,596,139.63256734199888,0.06950518731837939,14.795664075010873,-0.25305000082104273,0.03400649116480346,-0.32278253256927175,1
